"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9104","Test Case 4: Logout User","","Tue Sep 16 01:19:22 BRT 2025","passed","Tue Sep 16 01:19:31 BRT 2025","","User Authentication Scenarios","",""
"","15621","Test Case 1: Register User","","Tue Sep 16 01:18:41 BRT 2025","passed","Tue Sep 16 01:18:56 BRT 2025","","User Authentication Scenarios","",""
"","2337","Mapeamento dos campos","","Tue Sep 16 01:22:41 BRT 2025","passed","Tue Sep 16 01:22:44 BRT 2025","","Usar Mockado","",""
"","2524","Buscar por ""reactjs""","","Tue Sep 16 01:22:28 BRT 2025","passed","Tue Sep 16 01:22:31 BRT 2025","","Codigo Duplicado","",""
"","6760","Test Case 2: Login User with correct email and password","","Tue Sep 16 01:19:01 BRT 2025","passed","Tue Sep 16 01:19:07 BRT 2025","","User Authentication Scenarios","",""
"","8129","Test Case 6: Contact Us Form","","Tue Sep 16 01:20:07 BRT 2025","passed","Tue Sep 16 01:20:15 BRT 2025","","Website Functionality Scenarios","",""
"","2","Busca por mal uso ""vuejs""","","Tue Sep 16 01:22:34 BRT 2025","skipped","Tue Sep 16 01:22:34 BRT 2025","","Codigo Duplicado","",""
"","3983","Verificação da  href","","Tue Sep 16 01:22:57 BRT 2025","passed","Tue Sep 16 01:23:01 BRT 2025","","Pratica ruim de teste de navegador","",""
"","6236","Test Case 5: Register User with existing email","","Tue Sep 16 01:19:35 BRT 2025","passed","Tue Sep 16 01:19:41 BRT 2025","","User Authentication Scenarios","",""
"","5597","Test Case 3: Login User with incorrect email and password","","Tue Sep 16 01:19:11 BRT 2025","passed","Tue Sep 16 01:19:17 BRT 2025","","User Authentication Scenarios","",""
"","16765","Test Case 6: Register User and delete User","","Tue Sep 16 01:19:46 BRT 2025","passed","Tue Sep 16 01:20:02 BRT 2025","","User Authentication Scenarios","",""
"","3022","Nao usar enviar dados sensiveis","","Tue Sep 16 01:23:10 BRT 2025","failed","Tue Sep 16 01:23:13 BRT 2025","","Versionamento","",""
"","2","Busca por mal uso  ""reactjs""","","Tue Sep 16 01:20:51 BRT 2025","skipped","Tue Sep 16 01:20:51 BRT 2025","","Codigo Duplicado","",""
"","5","Busca por mal uso ""reactjs""","","Tue Sep 16 01:22:34 BRT 2025","skipped","Tue Sep 16 01:22:34 BRT 2025","","Codigo Duplicado","",""
"","2401","Buscar por ""vuejs""","","Tue Sep 16 01:22:31 BRT 2025","passed","Tue Sep 16 01:22:33 BRT 2025","","Codigo Duplicado","",""
"","3292","Test Case 7: Verify Test Cases Page","","Tue Sep 16 01:20:15 BRT 2025","passed","Tue Sep 16 01:20:18 BRT 2025","","Website Functionality Scenarios","",""
"","8602","Direciona para a pagina de Login","","Tue Sep 16 01:22:48 BRT 2025","failed","Tue Sep 16 01:22:57 BRT 2025","","Pratica ruim de teste de navegador","",""
"","7792","Adicionar curso","","Tue Sep 16 01:22:13 BRT 2025","failed","Tue Sep 16 01:22:21 BRT 2025","","Flak Teste","",""
"","5528","Test Case 8: Verify All Products and product detail page","","Tue Sep 16 01:20:19 BRT 2025","passed","Tue Sep 16 01:20:24 BRT 2025","","Website Functionality Scenarios","",""
